tweet,stemming,label
"#AyoTolakUUIKN 

Proyek IKN membuka peluang besar para oligarki untuk bermain curang, securang²nya. Tolak UU IKN","['proyek', 'ikn', 'buka', 'peluang', 'oligarki', 'main', 'curang', 'curang', 'tolak', 'uu', 'ikn']",0.0
Tolak UU IKN karena berpotensi merusak lingkungan dan tidak ada manfaat bagi masyarakat. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,"['tolak', 'uu', 'ikn', 'potensi', 'rusak', 'lingkung', 'manfaat', 'masyarakat', 'ikn', 'proyek', 'oligarki']",0.0
UU IKN hanya akan merugikan rakyat dengan hutang riba negara yang kian menumpuk. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,"['uu', 'ikn', 'rugi', 'rakyat', 'hutang', 'riba', 'negara', 'kian', 'tumpuk', 'ikn', 'proyek', 'oligarki']",0.0
Jika UU ini diterapkan yang terjadi adalah masyarakat akan semakin merasakan kerugian dan kesengsaraan. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,"['uu', 'terap', 'masyarakat', 'rasa', 'rugi', 'sengsara', 'tolak', 'uu', 'ikn']",0.0
UU IKN Syarat kepentingan oligarki. Tolak n batalkan saja &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim #fxnw,"['uu', 'ikn', 'syarat', 'penting', 'oligarki', 'tolak', 'batal']",0.0
Menyelesaikan masalah negri ini dgn syariah bukan dgn memindahkan ibu kota &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,"['selesai', 'negeri', 'syariah', 'pindah', 'kota', 'tolak', 'uu', 'ikn']",0.0
Kerusakan ekosistem di pulau Jawa hanya bisa diselesaikan dengan kebijakan yang adil bukan pemindahan ibu kota. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,"['rusa', 'ekosistem', 'pulau', 'jawa', 'selesai', 'bijak', 'adil', 'pindah', 'kota', 'ikn', 'proyek', 'oligarki']",0.0
IKN Proyek Ngawur Poool &gt;&gt; #UUIKNMendzalimiRakyat &gt;&gt; #StopKebijakanDzalim,"['ikn', 'proyek', 'ngawur']",0.0
Proyek IKN wujud nyata cengkeraman pemilik modal atas penguasa. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,"['proyek', 'ikn', 'wujud', 'cengkeram', 'milik', 'modal', 'kuasa', 'ikn', 'proyek', 'oligarki']",0.0
"UU IKN disinyalir sebagai wujud pemutihan dosa-dosa korporasi di Kalimantan Timur.

#UUIKNMendzalimiRakyat
IKN Proyek Oligarki","['uu', 'ikn', 'sinyalir', 'wujud', 'mutih', 'dosadosa', 'korporasi', 'kalimantan', 'timur', 'ikn', 'proyek', 'oligarki']",0.0
"Dari berbagai kesulitan menimpa umat di negeri ini. Bisa-bisanya melakukan pemborosan lewan Proyek IKN

#UUIKNMendzalimiRakyat
IKN Proyek Oligarki","['sulit', 'timpa', 'umat', 'negeri', 'bisabisanya', 'boros', 'lewan', 'proyek', 'ikn', 'ikn', 'proyek', 'oligarki']",0.0
Rakyat sengsara dengan UU IKN &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN #v9uq,"['rakyat', 'sengsara', 'uu', 'ikn', 'tolak', 'uu', 'ikn']",0.0
Rakyat sengsara dengan UU IKN &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan &gt;&gt;,"['rakyat', 'sengsara', 'uu', 'ikn']",0.0
Kepindahan IKN Bukan Demi Rakyat Tapi Demi Oligarki https://t.co/kEAlK4TgA5 &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN #ma3r,"['pindah', 'ikn', 'rakyat', 'oligarki', 'tolak', 'uu', 'ikn']",0.0
Daripada memindahkan ibu kota negara lebih baik mengupayakan kesejahteraan masyarakat luas. !! #AyoTolakUUIKN !! Tolak UU IKN,"['pindah', 'kota', 'negara', 'upaya', 'sejahtera', 'masyarakat', 'luas', 'tolak', 'uu', 'ikn']",0.0
"Proyek IKN menelan 466T yang sebagian besar dananya dari PEN (Pemulihan Ekonomi Nasional), trus buat rakyat apa ? &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;","['proyek', 'ikn', 'tel', 'dana', 'pengin', 'pulih', 'ekonomi', 'nasional', 'rakyat', 'tolak', 'uu', 'ikn']",0.0
IKN jalan utk memperpanjang dan menyempurnakan penjajahan secara kaffah. &gt;&gt; #UUIKNMendzalimiRakyat &gt;&gt; IKN Proyek Oligarki,"['ikn', 'jalan', 'panjang', 'sempurna', 'jajah', 'kaffah', 'ikn', 'proyek', 'oligarki']",0.0
Daripada memindahkan ibu kota negara lebih baik mengupayakan kesejahteraan masyarakat luas. &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan #aykz,"['pindah', 'kota', 'negara', 'upaya', 'sejahtera', 'masyarakat', 'luas']",0.0
"Bukan hanya rugi,tapi rakyat akan di jadikan sapi perah di negeri sendiri. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;","['rugitapi', 'rakyat', 'jadi', 'sapi', 'perah', 'negeri', 'ikn', 'proyek', 'oligarki']",0.0
"Proyek IKN berpotensi besar membebani APBN dalam waktu lama, yang dirugikan lagi2 rakyat. Maka harus di tolak &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan &gt;&gt;","['proyek', 'ikn', 'potensi', 'beban', 'apbn', 'rugi', 'rakyat', 'tolak']",0.0
Lu waras mau pindah ibu kota? &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt; https://t.co/a5bC8L6Bn1,"['waras', 'pindah', 'kota', 'tolak', 'uu', 'ikn']",0.0
