source,tweet,stemming,label
Twitter Web App,"#AyoTolakUUIKN 

Proyek IKN membuka peluang besar para oligarki untuk bermain curang, securang²nya. Tolak UU IKN","['proyek', 'ikn', 'buka', 'peluang', 'oligarki', 'main', 'curang', 'curang', 'tolak', 'uu', 'ikn']",-1
Twitter for Android,Tolak UU IKN karena berpotensi merusak lingkungan dan tidak ada manfaat bagi masyarakat. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,"['tolak', 'uu', 'ikn', 'potensi', 'rusak', 'lingkung', 'manfaat', 'masyarakat', 'gtgt', 'ltlt', 'ikn', 'proyek', 'oligarki', 'gtgt']",-1
Twitter Web App,UU IKN hanya akan merugikan rakyat dengan hutang riba negara yang kian menumpuk. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,"['uu', 'ikn', 'rugi', 'rakyat', 'hutang', 'riba', 'negara', 'kian', 'tumpuk', 'gtgt', 'ltlt', 'ikn', 'proyek', 'oligarki', 'gtgt']",-1
Twitter Web App,Jika UU ini diterapkan yang terjadi adalah masyarakat akan semakin merasakan kerugian dan kesengsaraan. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,"['uu', 'terap', 'masyarakat', 'rasa', 'rugi', 'sengsara', 'gtgt', 'ltlt', 'tolak', 'uu', 'ikn', 'gtgt']",-1
Twitter for Android,UU IKN Syarat kepentingan oligarki. Tolak n batalkan saja &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim #fxnw,"['uu', 'ikn', 'syarat', 'penting', 'oligarki', 'tolak', 'batal', 'gtgt', 'ltlt']",-1
Twitter Web App,Menyelesaikan masalah negri ini dgn syariah bukan dgn memindahkan ibu kota &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,"['selesai', 'negeri', 'syariah', 'pindah', 'kota', 'gtgt', 'ltlt', 'tolak', 'uu', 'ikn', 'gtgt']",-1
Twitter for Android,Kerusakan ekosistem di pulau Jawa hanya bisa diselesaikan dengan kebijakan yang adil bukan pemindahan ibu kota. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,"['rusa', 'ekosistem', 'pulau', 'jawa', 'selesai', 'bijak', 'adil', 'pindah', 'kota', 'gtgt', 'ltlt', 'ikn', 'proyek', 'oligarki', 'gtgt']",-1
Twitter Web App,IKN Proyek Ngawur Poool &gt;&gt; #UUIKNMendzalimiRakyat &gt;&gt; #StopKebijakanDzalim,"['ikn', 'proyek', 'ngawur', 'gtgt', 'gtgt']",-1
Twitter Web App,Proyek IKN wujud nyata cengkeraman pemilik modal atas penguasa. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,"['proyek', 'ikn', 'wujud', 'cengkeram', 'milik', 'modal', 'kuasa', 'gtgt', 'ltlt', 'ikn', 'proyek', 'oligarki', 'gtgt']",-1
Twitter for Android,"UU IKN disinyalir sebagai wujud pemutihan dosa-dosa korporasi di Kalimantan Timur.

#UUIKNMendzalimiRakyat
IKN Proyek Oligarki","['uu', 'ikn', 'sinyalir', 'wujud', 'mutih', 'dosadosa', 'korporasi', 'kalimantan', 'timur', 'ikn', 'proyek', 'oligarki']",-1
