date,tweet
2022-02-27,Ibu Kota  Negara  (IKN) Baru Bukan Untuk Rakyat Tapi Proyek Oligarki Kap... https://t.co/lyTsxKJ0PV lewat @YouTube
2022-02-27,"Jan pada mau..Pada ambil Pendi aja kalo dipaksa.. https://t.co/kdv2v7uGbr

Pegawai negeri sipil (PNS) di Jakarta bakal ikut pindah ke ibu kota negara (IKN) di Kalimantan Timur. Yang nolak bakal terima sanksi ini."
2022-02-27,"@ABSetyono @kemkominfo @PlateJohnny Pemerintah terus melakukan komunikasi persuasi mengenai pemindahan Ibu Kota Negara (IKN) agar tercipta semangat Indonesia sentris.
@kemkominfo"
2022-02-27,"@YoezZar @geloraco Presiden @jokowi menyampaikan bahwa pemindahan ibu kota negara (IKN) ke Nusantara merupakan sebuah lompatan bagi bangsa Indonesia untuk melakukan transformasi bangsa menuju Indonesia Maju.
#IndonesiaHebat"
2022-02-27,Pegawai negeri sipil (PNS) di Jakarta bakal ikut pindah ke ibu kota negara (IKN) di Kalimantan Timur. Yang nolak bakal terima sanksi ini. https://t.co/RlQasU1235
2022-02-27,@democrazymedia Alasan Biaya mahal...??? STOP PINDAH IBU KOTA NEGARA !!! IKN di buru² supaya biar terlihat bisa membangun sesuatu yg Monumenter ??? Emang ada Uang nya ??? Atau Utang lagi???
2022-02-27,@ari_zullutfi @Daeng_ruwet @pengarang_sajak Lanjutkan kawan sampai negara asing menguasai Indonesia semangat sampai Indonesian di ibu kota ikn kelaparan
2022-02-27,"Presiden Joko Widodo (Jokowi) mengungkapkan, pembangunan Ibu Kota Negara (IKN) Nusantara di Kalimantan Timur akan menunjukkan kebesaran bangsa Indonesia. 
@jokowi 

https://t.co/L88IMNFdzL https://t.co/Fg4u9rS6uB"
2022-02-27,"@ABSetyono @kemkominfo @PlateJohnny Usman Kansong mengatakan pemerintah terus melakukan komunikasi persuasi mengenai pemindahan Ibu Kota Negara (IKN) agar tercipta semangat Indonesia sentris.
@kemkominfo"
2022-02-27,"Ibu Kota Negara (IKN) Indonesia resmi akan berpindah dari DKI Jakarta ke Nusantara, Kalimantan Timur. Hal ini ditandai dengan disetujuinya RUU IKN menjadi undang-undang oleh DPR RI. https://t.co/hSqWZkHHL7

𝗝𝗼𝗸𝗼𝘄𝗶 𝗚𝗮𝘀 𝗣𝗼𝗹 𝗜𝗻𝗳𝗿𝗮𝘀𝘁𝗿𝘂𝗸𝘁𝘂𝗿 https://t.co/lW5opHkhtp"
2022-02-27,Riuh UU IKN dan Pemindahan Ibu Kota Negara untuk Siapa? https://t.co/VkJ3eKcDnL
2022-02-27,Banyak pegawai negeri sipil (PNS) ternyata enggan pindah ke ibu kota negara (IKN) baru di Kalimantan Timur. https://t.co/4Nrt44lxW7
2022-02-27,Presiden #Jokowi Sahkan UU IKN Pembangunan Ibu Kota Negara Dimulai https://t.co/SCv9FOaawt
2022-02-27,"Yah gimana ya.. sudah di sumpah kata bebeb!
Etapi mau cari celah dulu untuk pindah ke daerah 🤭

https://t.co/6ZzGVlpVDe

Banyak pegawai negeri sipil (PNS) ternyata enggan pindah ke ibu kota negara (IKN) baru di Kalimantan Timur."
2022-02-27,"Hahahhaa.. PAN_RB makin dongo https://t.co/qZ7S170g4J

Banyak pegawai negeri sipil (PNS) ternyata enggan pindah ke ibu kota negara (IKN) baru di Kalimantan Timur."
2022-02-27,"https://t.co/cCbTlgpdmy

Banyak pegawai negeri sipil (PNS) ternyata enggan pindah ke ibu kota negara (IKN) baru di Kalimantan Timur."
2022-02-27,"Pemuda Pancasila akan membangun kantor pusat di kawasan Ibu Kota Negara (IKN) Nusantara, Kalimantan Timur.

Selengkpanya: 👇 #PemudaPancasila https://t.co/ApDdJP5yfO"
2022-02-27,"Pemerintah terus melakukan komunikasi persuasi
Mengenai,
Pemindahan Ibu Kota Negara (IKN)
Agar tercipta, 
semangat Indonesia sentris

@PlateJohnny 
@kemkominfo 

https://t.co/8pPmkdGrmI"
2022-02-27,"Pemindahan Ibu Kota Negara (IKN) lompatan bagi bangsa Indonesia untuk melakukan tranformasi menuju Indonesia maju. 

@PlateJohnny 
@kemkominfo https://t.co/4oLndz7vbW"
2022-02-27,"https://t.co/FRzsmQYmSu

Kominfo- Pemerintah terus melakukan komunikasi persuasi mengenai pemindahan Ibu Kota Negara (IKN) agar tercipta semangat Indonesia sentris. 
@PlateJohnny 
@kemkominfo"
2022-02-27,"Pemerintah terus melakukan komunikasi persuasif dan menyebarluaskan narasi mengenai pemindahan Ibu Kota Negara (IKN) agar tercipta semangat Indonesia sentris. 
@PlateJohnny @kemkominfo https://t.co/Lm2sAFjkaO"
2022-02-27,"Pemindahan Ibu Kota Negara ( IKN ) Ke Nusantara

Simak selengkapnya #PernyataanPresiden Joko Widodo dalam acara Beranda Nusantara “Menuju Ibu Kota Negara Baru” yang ditayangkan RRI, Rabu (23/02/2022). https://t.co/PkxoWaGF3j"
2022-02-27,"Bersinar! @kemkominfo akan Transformasi IKN jadi Smart Capital City

Pembangunan Ibu Kota Negara baru (IKN) sebagai Smart Capital City akan membuat IKN ini semakin glowing alias bersinar.
https://t.co/dH6KZGZMgh"
2022-02-27,"Uhuk uhuk 😌😌😌

https://t.co/rYQPexO1SX

Ibu kota negara (IKN) bakal pindah dari awalnya di Jakarta ke Kalimantan. Pegawai Negeri Sipil (PNS) juga bakal ikut dipindahkan ke IKN."
2022-02-27,Ibu kota negara (IKN) bakal pindah dari awalnya di Jakarta ke Kalimantan. Pegawai Negeri Sipil (PNS) juga bakal ikut dipindahkan ke IKN. https://t.co/6fHyXzry8x
2022-02-27,"Pemindahan ASN ke IKN, Kominfo: Bukan Sekadar Memindahkan.

Usman Kansong mengatakan pemerintah terus melakukan komunikasi persuasi mengenai pemindahan Ibu Kota Negara agar tercipta semangat Indonesia sentris. 
@PlateJohnny @kemkominfo @Prabu_dasamuka https://t.co/i3Cs9wrJuW"
2022-02-27,"Presiden Joko Widodo meyakini Ibu Kota Negara (IKN) Nusantara akan menjadi representasi bangsa yg unggul dengan mewujudkan smart city (kota pintar), kota modern berkelanjutan, serta memiliki standar internasional sehingga menjadi contoh bagi pembangunan kota2 lain di Indonesia. https://t.co/eHPyLZ2CyX"
2022-02-27,Mari kita sukseskan pemindahan Ibu Kota Negara baru di Kalimantan #IbukotaNegara #IKN #SemangatNusantara https://t.co/ULrIIzreZP
2022-02-27,"IKN Indonesia resmi akan berpindah dari DKI Jakarta ke Nusantara, Kaltim. Hal ini ditandai dengan disetujuinya RUU IKN menjadi UU oleh DPR RI pada Sidang Paripurna, 18/1/22.

Presiden @jokowi juga telah menetapkan nama ibu kota negara baru yakni Nusantara
https://t.co/EvU0FlsDFT"
2022-02-27,"Ibu Kota Negara (IKN) Indonesia resmi akan berpindah dari DKI Jakarta ke Nusantara, Kalimantan Timur. Hal ini ditandai dengan disetujuinya Rancangan Undang-Undang (RUU) IKN menjadi undang-undang oleh DPR RI pada Sidang Paripurna, 18 Januari 2022 lalu.
https://t.co/QdY1mhykOj"
2022-02-27,Nusantara di Kalimantan Timur bakal jadi ibu kota negara (IKN) baru menggantikan Jakarta. Banyak PNS yang enggan pindah ke IKN. Ini sederet faktanya. https://t.co/qBIrX2HRdq
2022-02-27,"Presiden @jokowi ungkap salah satu kriteria calon kepala Otorita IKN (Ibu Kota Negara) berasal dari non partai, komentar Anda?

https://t.co/EN7FkCklP5 https://t.co/f6PTOVw5xZ"
2022-02-27,Nusantara di Kalimantan Timur bakal jadi ibu kota negara (IKN) baru menggantikan Jakarta. Banyak PNS yang enggan pindah ke IKN. Ini sederet faktanya. https://t.co/4hfiWAJCR0
2022-02-26,"IKN Indonesia resmi akan berpindah dari DKI Jakarta ke Nusantara, Kaltim. Hal ini ditandai dengan disetujuinya RUU IKN menjadi UU oleh DPR RI pada Sidang Paripurna, 18/1/22.

Presiden @jokowi juga telah menetapkan nama ibu kota negara baru yakni Nusantara
https://t.co/eCCvFuweAq"
2022-02-26,"Pemindahan Ibu Kota Negara ke Nusantara merupakan salah satu upaya mewujudkan Visi Indonesia 2045 menuju #IndonesiaMaju 🇮🇩
via @ikn_id 

Simak informasi berikut ya 😊
https://t.co/ID2hnGHMJ1"
2022-02-26,"Dalam Kunjungan ke Titik Nol Ibu Kota Negara bersama Ketua DPR RI, Panglima TNI Jenderal Andika Perkasa menjelaskan kebutuhan pertahanan dan keamanan untuk Ibu Kota Negara Nusantara 🇮🇩
via @ikn_id 

Selengkapnya melalui https://t.co/jNXE2Hbdw8 ya 😊
https://t.co/MV19QxVunI"
2022-02-26,"@ABSetyono @kemkominfo @PlateJohnny Ibu Kota Negara (IKN) Nusantara menarik minat banyak tokoh dunia.
@PlateJohnny 
@kemkominfo"
2022-02-26,"@BennyHarmanID Politikus tidak cerdas,kalau bangun Ibu Kota Negara baru menghambur hamburkan uang itu pernyataan anak SD yg gak lulus, UU IKN sudah ketok palu artinya secara demokrasi itu keputusan seluruh rakyat"
2022-02-26,"Bambang Soesatyo (Bamsoet) memberi pernyataan bahwa Pemuda Pancasila menjadi organisasi kemasyarakatan (ormas) pertama yang akan segera membangun kantor pusat organisasi, di kawasan Ibu Kota Negara (IKN) Nusantara.

https://t.co/i0UnJXo3ml

#Bamsoet #PP #IKN #PemudaPancasila https://t.co/CjKDmrClNn"
2022-02-26,"Dalam Kunjungan ke Titik Nol Ibu Kota Negara bersama Ketua DPR RI, Panglima TNI Jenderal Andika Perkasa menjelaskan kebutuhan pertahanan dan keamanan untuk Ibu Kota Negara Nusantara 🇮🇩

Lihat informasi selengkapnya melalui https://t.co/CwUzhKufam ya 😊

#IKN #IbuKotaNegara https://t.co/WNdTPITfBg"
2022-02-26,IKN-6. Apa jadinya smart city Ibu Kota Negara kalau teknologi informasi yang dikembangkan masih mudah diakali?
2022-02-26,IKN-2. Mengapa kita harus bangga? Bayangkan di Ibu Kota Negara nanti seluruh aspek kehidupan terintegrasi dalam teknologi informasi. Kita semua sudah merasakan bagaimana nyaman dan mudahnya hidup di era teknologi informasi.
2022-02-26,"Meski konsep sumur resapan dianggap tak nyambung dan menuai kontroversi, rupanya dalam pembangunan Ibu Kota Negara (IKN), dipakai hal serupa.
https://t.co/5JA6dbqMiP"
2022-02-26,"Pengamat politik dari Universitas Al Azhar Indonesia Ujang Komarudin menilai , proyek pemindahan Ibu Kota Negara (IKN) dari DKI Jakarta ke Kalimantan Timur hanyalah proyek milik elite pemerintah

#RakyatMakinSusahPakde
#RakyatMakinSusahPakde https://t.co/vxnpWDz03U"
2022-02-26,"Ketua MPR RI Bambang Soesatyo mengungkapkan Pemuda Pancasila menjadi organisasi pertama yang akan segera membangun kantor Majelis Pimpinan Nasional (MPN) di kawasan Ibu Kota Negara (IKN) Nusantara, Kalimantan Timur. #MPRRI https://t.co/14dcdv8COE"
2022-02-26,Pemerintah mencatat ada 118 ribu hingga 180 ribu Pegawai Negeri Aipil (PNS) yang akan pindah ke Ibu Kota Negara (IKN) di Kalimantan Timur (Kaltim). https://t.co/0NXePYBHJt
2022-02-26,"Dalam pertemuan tersebut, Presiden @jokowi antara lain menjelaskan mengenai pembangunan ibu kota negara (IKN) Nusantara yang akan dikerjakan oleh pemerintah.
https://t.co/OXDwTn1sDC"
2022-02-26,"KSP @Dr_Moeldoko :
Pemerintah Pusat memastikan, pemindahan Ibu Kota Negara (IKN) ke Kaltim tak akan mengabaikan sumber daya manusia (SDM) setempat. Baik mulai dari awal pembangunan, hingga sistem pemerintahan berjalan kelak.
 https://t.co/WkZZOVTaik"
2022-02-26,"Seperti Apa Kawasan Ibu Kota Negara Kalimantan Timur Saat Ini? - “Khususnya dalam memastikan agar nilai-nilai Pancasila dan demokrasi di kawasan IKN Nusantara tetap terjaga kelestariannya,” kata Ketua MPR RI sekaligus Wakil Ketua Umum Pemuda... https://t.co/pQ1BSwpmCF"
2022-02-26,"Banyak pihak yang mendukung pemindahan Ibu Kota Negara baru demi kemajuan bangsa Indonesia
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/vjTlzjCqcT"
2022-02-26,"Banyak pihak yang mendukung pemindahan Ibu Kota Negara baru demi kemajuan bangsa Indonesia
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/k1VsD3Buxe"
2022-02-26,"https://t.co/DrckQUVQbI

Pemerintah mencatat ada 118 ribu hingga 180 ribu Pegawai Negeri Aipil (PNS) yang akan pindah ke Ibu Kota Negara (IKN) di Kalimantan Timur (Kaltim)."
2022-02-26,@ABSetyono @jokowi @kemkominfo @PlateJohnny Pembangunan Ibu Kota Negara (IKN) di Kalimantan Timur akan mengedepankan konsep yang ramah lingkungan. Tempat persemaian bibit atau nursery yang dapat menghasilkan sekitar 20 juta bibit setiap tahun pun akan dibangun pada tahap pertama. @kemkominfo @PlateJohnny
2022-02-26,"Siapkan Pembangunan Ibu Kota Negara, Pemerintah Susun Rencana Kerja dan Pastikan Status Kawasan Inti dan Pengembangan IKN Clean and Clear.

Berita selengkapnya kunjungi https://t.co/IwABkXIqEa https://t.co/WddHatjcoo"
2022-02-26,"Di era pemerintahan Joko Widodo, Indonesia akhirnya merintis pembangunan IKN baru. Jakarta, ibu kota negara warisan dari zaman kolonial akan difokuskan sebagai kota bisnis.

Dan ini merupakan sejarah baru bangsa Indonesia.
#TetapJokowi
https://t.co/C2l4HGo0VA"
2022-02-26,"Rencana pembangunan Ibu Kota Negara (IKN) di Penajam Paser Utara, Kalimantan Timur, merupakan cara revolusioner Presiden Joko Widodo dalam membangun peradaban sebagai representasi kemajuan bangsa. https://t.co/nuaUtACeRO"
2022-02-26,Nusantara di Kalimantan Timur bakal jadi ibu kota negara (IKN) baru menggantikan Jakarta. Banyak PNS yang enggan pindah ke IKN. Ini sederet faktanya. https://t.co/MH9ez6Qcsa
2022-02-26,"Ibu Kota Negara (IKN) Indonesia resmi akan berpindah dari DKI Jakarta ke Nusantara, Kalimantan Timur. Hal ini ditandai dengan disetujuinya RUU) IKN menjadi Uu oleh DPR RI pada Sidang Paripurna, 18 Januari 2022 lalu. @jokowi @Dnok_Ayu @KelianBanjar_GK @orw7
https://t.co/BlzUGjKZxv"
2022-02-26,"Pembangunan Ibu Kota Negara, Bantaeng Bakal Suplai Bahan Bangunan Slag Nikel: Kabupaten Bantaeng bakal menjadi salah satu daerah yang akan menyuplai bahan bangunan untuk proyek Ibu Kota Negara (IKN) Nusantara di… https://t.co/FhFGfeArKE #News #SlegNikel #PembangunanIKN"
2022-02-26,Nusantara di Kalimantan Timur bakal jadi ibu kota negara (IKN) baru menggantikan Jakarta. Banyak PNS yang enggan pindah ke IKN. Ini sederet faktanya. https://t.co/rtaVrDvQzh
2022-02-25,"Ini nih mntan menteri yang mnolak IKN Kalimantan, dukung teruuss pemindahan ibu kota negara ke Kaltim https://t.co/QMmwEHpgNd"
2022-02-25,"Ini nih mntan menteri yang mnolak IKN Kalimantan, dukung teruuss pemindahan ibu kota negara ke Kaltim https://t.co/ZCFu5qYUEj"
2022-02-25,"Kepala Staf Presiden @Dr_Moeldoko mengatakan tujuan pemindahan Ibu Kota Negara (IKN) ke Nusantara di Penajam Paser Utara, Kalimantan Timur, harus dipandang secara utuh

Pemindahan dilakukan untuk memeratakan pembangunan dan mengurangi beban di ibu kota saat ini, yaitu Jakarta https://t.co/93ydsMCeLd"
2022-02-25,"Ini nih mntan menteri yang mnolak IKN Kalimantan, dukung teruuss pemindahan ibu kota negara ke Kaltim https://t.co/DDxdYDq4c6"
2022-02-25,"@ABSetyono @jokowi @kemkominfo @PlateJohnny Pembangunan Ibu Kota Negara (IKN) di Kalimantan Timur akan mengedepankan konsep yang ramah lingkungan.
@kemkominfo"
2022-02-25,"Rencananya Konsep Sumur Resapan Air Dipakai di IKN (Ibu Kota Negara) Baru, Anies Baswedan Makin Top #aniesbaswedan https://t.co/8I3zafpGUz"
2022-02-25,"@ABSetyono @Spy_Zone85 @kemkominfo @PlateJohnny Kementerian Komunikasi dan Informatika (Kominfo) telah merampungkan desain infrastruktur untuk menunjang sistem komunikasi di Ibu Kota Negara (IKN) Nusantara.
@kemkominfo"
