 ,tweet,target
2022-01-27,"#AyoTolakUUIKN 

Proyek IKN membuka peluang besar para oligarki untuk bermain curang, securang²nya. Tolak UU IKN",0
2022-01-27,Tolak UU IKN karena berpotensi merusak lingkungan dan tidak ada manfaat bagi masyarakat. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,0
2022-01-27,UU IKN hanya akan merugikan rakyat dengan hutang riba negara yang kian menumpuk. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,0
2022-01-27,Jika UU ini diterapkan yang terjadi adalah masyarakat akan semakin merasakan kerugian dan kesengsaraan. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,0
2022-01-27,UU IKN Syarat kepentingan oligarki. Tolak n batalkan saja &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim #fxnw,0
2022-01-27,Menyelesaikan masalah negri ini dgn syariah bukan dgn memindahkan ibu kota &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,0
2022-01-27,Kerusakan ekosistem di pulau Jawa hanya bisa diselesaikan dengan kebijakan yang adil bukan pemindahan ibu kota. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,0
2022-01-27,IKN Proyek Ngawur Poool &gt;&gt; #UUIKNMendzalimiRakyat &gt;&gt; #StopKebijakanDzalim,0
2022-01-27,Proyek IKN wujud nyata cengkeraman pemilik modal atas penguasa. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,0
2022-01-27,"UU IKN disinyalir sebagai wujud pemutihan dosa-dosa korporasi di Kalimantan Timur.

#UUIKNMendzalimiRakyat
IKN Proyek Oligarki",0
2022-01-27,"Dari berbagai kesulitan menimpa umat di negeri ini. Bisa-bisanya melakukan pemborosan lewan Proyek IKN

#UUIKNMendzalimiRakyat
IKN Proyek Oligarki",0
2022-01-27,Rakyat sengsara dengan UU IKN &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN #v9uq,0
2022-01-27,Rakyat sengsara dengan UU IKN &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan &gt;&gt;,0
2022-01-27,Kepindahan IKN Bukan Demi Rakyat Tapi Demi Oligarki https://t.co/kEAlK4TgA5 &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN #ma3r,0
2022-01-27,Daripada memindahkan ibu kota negara lebih baik mengupayakan kesejahteraan masyarakat luas. !! #AyoTolakUUIKN !! Tolak UU IKN,0
2022-01-27,"Proyek IKN menelan 466T yang sebagian besar dananya dari PEN (Pemulihan Ekonomi Nasional), trus buat rakyat apa ? &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;",0
2022-01-27,IKN jalan utk memperpanjang dan menyempurnakan penjajahan secara kaffah. &gt;&gt; #UUIKNMendzalimiRakyat &gt;&gt; IKN Proyek Oligarki,0
2022-01-27,Daripada memindahkan ibu kota negara lebih baik mengupayakan kesejahteraan masyarakat luas. &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan #aykz,0
2022-01-27,"Bukan hanya rugi,tapi rakyat akan di jadikan sapi perah di negeri sendiri. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;",0
2022-01-27,"Proyek IKN berpotensi besar membebani APBN dalam waktu lama, yang dirugikan lagi2 rakyat. Maka harus di tolak &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan &gt;&gt;",0
2022-01-27,Lu waras mau pindah ibu kota? &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt; https://t.co/a5bC8L6Bn1,0
2022-01-27,UU IKN mengancam kelestarian flora fauna Kalimantan. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim #unng,0
2022-01-27,UU IKN adalah produk para kapitalis yang serakah. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #StopKebijakanDzalim &gt;&gt;,0
2022-01-27,UU IKN adalah jalan mulus melegalkan kehancuran ekologi ekosistem Kalimantan Timur. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,0
2022-01-27,"UU IKN hanya utk golongan tertentu saja

#UUIKNMendzalimiRakyat  #StopKebijakanDzalim",0
2022-01-27,"Beban biaya menggunakan apbn, yang ujung-ujungnya adalah menambah beban rakyat. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;",0
2022-01-27,Oligarki berbahaya bagi semua makhluk hidup &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN #q092,0
2022-01-27,Katanya demokratis tapi pendapat rakyat kok dikesampingkan? &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,0
2022-01-27,"#AyoTolakUUIKN 

UU IKN menambah deretan kebijakan pemerintah yang diputuskan secara serampangan dan dipaksakan. #UUIKNMeresahkan",0
2022-01-27,"Omong kosong keadilan bagi seluruh rakyat, yang ada keadilan bagi oligarki doang. !! #AyoTolakUUIKN !! Tolak UU IKN",0
2022-01-27,Proyek oligarki IKN adalah wujud nyata kedzaliman sistem kapitalisme &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan #9olp,0
2022-01-27,UU IKN ini tak bisa ditolerir lagi. &gt;&gt; #AyoTolakUUIKN &lt;&lt; #UUIKNMeresahkan &gt;&gt;,0
2022-01-27,Oligarki pemilik modal dan bonekanya pasti untung. Rakyat yg bayar pasti buntung bin sengsara. &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;,0
2022-01-27,"Rakyat jelata berjuang mati Matian untuk menyambung hidup, pemerintah kok malah makin meningkatkan hutang negara? &gt;&gt; #AyoTolakUUIKN &lt;&lt; Tolak UU IKN &gt;&gt;",0
2022-01-27,Rakyat akan semakin tercekik dengan pajak dan utang yang dibebankan utk proyek IKN. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; IKN Proyek Oligarki &gt;&gt;,0
2022-01-27,Proyek IKN mengancam keutuhan ekologi dan lingkungan Kalimantan. &gt;&gt; #UUIKNMendzalimiRakyat &lt;&lt; #lofg,0
2022-01-27,IKN jalan utk memperpanjang dan menyempurnakan penjajahan secara kaffah. --&gt;#UUIKNMendzalimiRakyat &lt;-- #yudv,0
